,index,values
0,1971-04-02,7.33
1,1971-04-09,7.31
2,1971-04-16,7.31
3,1971-04-23,7.31
4,1971-04-30,7.29
5,1971-05-07,7.38
6,1971-05-14,7.42
7,1971-05-21,7.44
8,1971-05-28,7.46
9,1971-06-04,7.52
10,1971-06-11,7.52
11,1971-06-18,7.54
12,1971-06-25,7.54
13,1971-07-02,7.54
14,1971-07-09,7.54
15,1971-07-16,7.6
16,1971-07-23,7.65
17,1971-07-30,7.69
18,1971-08-06,7.66
19,1971-08-13,7.73
20,1971-08-20,7.71
21,1971-08-27,7.69
22,1971-09-03,7.71
23,1971-09-10,7.67
24,1971-09-17,7.7
25,1971-09-24,7.67
26,1971-10-01,7.67
27,1971-10-08,7.63
28,1971-10-15,7.63
29,1971-10-22,7.58
30,1971-10-29,7.63
31,1971-11-05,7.59
32,1971-11-12,7.56
33,1971-11-19,7.54
34,1971-11-26,7.51
35,1971-12-03,7.49
36,1971-12-10,7.47
37,1971-12-17,7.48
38,1971-12-24,7.48
39,1971-12-31,7.48
40,1972-01-07,7.46
41,1972-01-14,7.46
42,1972-01-21,7.43
43,1972-01-28,7.4
44,1972-02-04,7.35
45,1972-02-11,7.33
46,1972-02-18,7.31
47,1972-02-25,7.31
48,1972-03-03,7.32
49,1972-03-10,7.32
50,1972-03-17,7.31
51,1972-03-24,7.31
52,1972-03-31,7.23
53,1972-04-07,7.25
54,1972-04-14,7.29
55,1972-04-21,7.29
56,1972-04-28,7.33
57,1972-05-05,7.33
58,1972-05-12,7.38
59,1972-05-19,7.38
60,1972-05-26,7.4
61,1972-06-02,7.36
62,1972-06-09,7.38
63,1972-06-16,7.38
64,1972-06-23,7.36
65,1972-06-30,7.38
66,1972-07-07,7.38
67,1972-07-14,7.4
68,1972-07-21,7.4
69,1972-07-28,7.4
70,1972-08-04,7.35
71,1972-08-11,7.41
72,1972-08-18,7.42
73,1972-08-25,7.42
74,1972-09-01,7.42
75,1972-09-08,7.42
76,1972-09-15,7.42
77,1972-09-22,7.41
78,1972-09-29,7.43
79,1972-10-06,7.41
80,1972-10-13,7.41
81,1972-10-20,7.44
82,1972-10-27,7.42
83,1972-11-03,7.43
84,1972-11-10,7.42
85,1972-11-17,7.42
86,1972-11-24,7.44
87,1972-12-01,7.45
88,1972-12-08,7.43
89,1972-12-15,7.43
90,1972-12-22,7.45
91,1972-12-29,7.45
92,1973-01-05,7.44
93,1973-01-12,7.44
94,1973-01-19,7.44
95,1973-01-26,7.43
96,1973-02-02,7.43
97,1973-02-09,7.43
98,1973-02-16,7.45
99,1973-02-23,7.45
100,1973-03-02,7.45
101,1973-03-09,7.45
102,1973-03-16,7.45
103,1973-03-23,7.45
104,1973-03-30,7.49
105,1973-04-06,7.51
106,1973-04-13,7.54
107,1973-04-20,7.56
108,1973-04-27,7.56
109,1973-05-04,7.58
110,1973-05-11,7.64
111,1973-05-18,7.69
112,1973-05-24,7.7
113,1973-06-01,7.7
114,1973-06-08,7.73
115,1973-06-15,7.73
116,1973-06-22,7.75
117,1973-06-29,7.76
118,1973-07-06,7.89
119,1973-07-13,8.01
120,1973-07-20,8.12
121,1973-07-27,8.18
122,1973-08-03,8.26
123,1973-08-10,8.4
124,1973-08-17,8.55
125,1973-08-24,8.61
126,1973-08-31,8.66
127,1973-09-07,8.77
128,1973-09-14,8.81
129,1973-09-21,8.83
130,1973-09-28,8.85
131,1973-10-05,8.82
132,1973-10-12,8.83
133,1973-10-19,8.75
134,1973-10-26,8.68
135,1973-11-02,8.62
136,1973-11-09,8.59
137,1973-11-16,8.58
138,1973-11-23,8.57
139,1973-11-30,8.55
140,1973-12-07,8.53
141,1973-12-14,8.53
142,1973-12-21,8.53
143,1973-12-28,8.56
144,1974-01-04,8.56
145,1974-01-11,8.53
146,1974-01-18,8.55
147,1974-01-25,8.52
148,1974-02-01,8.48
149,1974-02-08,8.46
150,1974-02-15,8.46
151,1974-02-22,8.42
152,1974-03-01,8.41
153,1974-03-08,8.41
154,1974-03-15,8.4
155,1974-03-22,8.4
156,1974-03-29,8.41
157,1974-04-05,8.44
158,1974-04-12,8.53
159,1974-04-19,8.63
160,1974-04-26,8.73
161,1974-05-03,8.87
162,1974-05-10,8.98
163,1974-05-17,8.97
164,1974-05-24,9.01
165,1974-05-31,9.03
166,1974-06-07,9.06
167,1974-06-14,9.11
168,1974-06-21,9.07
169,1974-06-28,9.1
170,1974-07-05,9.14
171,1974-07-12,9.19
172,1974-07-19,9.37
173,1974-07-26,9.42
174,1974-08-02,9.47
175,1974-08-09,9.5
176,1974-08-16,9.6
177,1974-08-23,9.62
178,1974-08-30,9.74
179,1974-09-06,9.88
180,1974-09-13,9.92
181,1974-09-20,10.0
182,1974-09-27,10.03
183,1974-10-04,10.02
184,1974-10-11,9.96
185,1974-10-18,9.99
186,1974-10-25,9.94
187,1974-11-01,9.87
188,1974-11-08,9.81
189,1974-11-15,9.81
190,1974-11-22,9.73
191,1974-11-29,9.72
192,1974-12-06,9.69
193,1974-12-13,9.63
194,1974-12-20,9.58
195,1974-12-27,9.56
196,1975-01-03,9.6
197,1975-01-10,9.49
198,1975-01-17,9.43
199,1975-01-24,9.35
200,1975-01-31,9.29
201,1975-02-07,9.2
202,1975-02-14,9.13
203,1975-02-21,9.07
204,1975-02-28,9.02
205,1975-03-07,9.0
206,1975-03-14,8.89
207,1975-03-21,8.86
208,1975-03-28,8.86
209,1975-04-04,8.83
210,1975-04-11,8.81
211,1975-04-18,8.8
212,1975-04-25,8.84
213,1975-05-02,8.92
214,1975-05-09,8.88
215,1975-05-16,8.92
216,1975-05-23,8.92
217,1975-05-30,8.89
218,1975-06-06,8.89
219,1975-06-13,8.9
220,1975-06-20,8.88
221,1975-06-27,8.9
222,1975-07-03,8.88
223,1975-07-11,8.9
224,1975-07-18,8.89
225,1975-07-25,8.89
226,1975-08-01,8.89
227,1975-08-08,8.89
228,1975-08-15,8.93
229,1975-08-22,8.98
230,1975-08-29,9.02
231,1975-09-05,9.08
232,1975-09-12,9.16
233,1975-09-19,9.14
234,1975-09-26,9.14
235,1975-10-03,9.2
236,1975-10-10,9.21
237,1975-10-17,9.21
238,1975-10-24,9.26
239,1975-10-31,9.24
240,1975-11-07,9.19
241,1975-11-14,9.16
242,1975-11-21,9.12
243,1975-11-28,9.11
244,1975-12-05,9.11
245,1975-12-12,9.11
246,1975-12-19,9.08
247,1975-12-26,9.09
248,1976-01-02,9.1
249,1976-01-09,9.07
250,1976-01-16,9.01
251,1976-01-23,9.0
252,1976-01-30,8.9
253,1976-02-06,8.86
254,1976-02-13,8.83
255,1976-02-20,8.81
256,1976-02-27,8.75
257,1976-03-05,8.77
258,1976-03-12,8.75
259,1976-03-19,8.75
260,1976-03-26,8.75
