,index,values
0,2012-07-01,75.0
1,2012-10-01,74.0
2,2013-01-01,73.0
3,2013-04-01,74.0
4,2013-07-01,75.0
5,2013-10-01,76.0
6,2014-01-01,77.0
7,2014-04-01,78.0
8,2014-07-01,78.0
9,2014-10-01,75.0
10,2015-01-01,75.0
11,2015-04-01,75.0
12,2015-07-01,78.0
13,2015-10-01,75.0
14,2016-01-01,75.0
15,2016-04-01,77.0
16,2016-07-01,76.0
17,2016-10-01,75.0
18,2017-01-01,75.0
19,2017-04-01,80.0
20,2017-07-01,80.0
21,2017-10-01,78.0
22,2018-01-01,79.0
23,2018-04-01,80.0
24,2018-07-01,80.0
25,2018-10-01,80.0
26,2019-01-01,80.0
27,2019-04-01,80.0
28,2019-07-01,79.0
29,2019-10-01,76.0
30,2020-01-01,75.0
31,2020-04-01,73.0
32,2020-07-01,73.0
33,2020-10-01,71.0
34,2021-01-01,69.0
35,2021-04-01,70.0
36,2021-07-01,70.0
37,2021-10-01,68.0
38,2022-01-01,69.0
39,2022-04-01,75.0
40,2022-07-01,80.0
41,2022-10-01,75.0
42,2023-01-01,75.0
43,2023-04-01,77.0
44,2023-07-01,78.0
